Artikel,Deutsch,Plural Suffix,Plural,Type,English,فارسی
der,Handschuh,e,Handschuhe,,glove,دستکش
der,Schal,s,Schals,,scarf,روسری
der,Hut,Hüte,,,hat,کلاه
die,Mütze,n,Mützen,,wool hat,کلاه بافتنی
die,Tasche,n,Taschen,,bag,کیف
,ein Paar,,,,a couple of,یک جفت از
,ein paar,,,,a few,چندتا
die,Farbe,n,Farben,,color,رنگ
,beige,,,,beige,بژ
,blau,,,,blue,آبی
,braun,,,,brown,قهوه‌ای
,gelb,,,,yellow,زرد
,grau,,,,gray,خاکستری
,grün,,,,green,سبز
,lila,,,,purple,بنفش
,orange,,,,orange,نارنجی
,rosa,,,,pink,صورتی
,rot,,,,red,قرمز
,schwarz,,,,black,سیاه
,türkis,,,,turquoise,فیروزه‌ای
,weiß,,,,white,سفید
,hell,,,,bright,روشن
,hellblau,,,,light blue,آبی روشن
,dunkel,,,,dark,تیره
,dunkelblau,,,,dark blue,آبی تیره
das,Material,,,,material,مواد
die,Baumwolle,,,,cotton,پنبه
das,Leder,,,,leather,چرم
,waschen,,,v,wash,شستشو
die,Wäsche,,,,laundry,لباسهای کثیف
die,Wäscherei,en,Wäschereien,,laundry,خشکشویی
der,Waschkorb,Wäschkorbe,,,laundry basket,سبد لباس‌های شسته شده
die,Maschine,n,Maschinen,,machine,دستگاه
die,Waschmaschine,,,,washing machine,ماشین لباسشویی
das,Programm,e,Programme,,program,برنامه
das,Waschprogramm,,,,washing program,برنامه شستشو
das,Waschpulver,-,,,washing powder,پودر لباسشویی
der,Waschsalon,s,Waschsalons,,laundromat,رختشویخانه
,waschen,,,v,wash,شستشو
der,Trockner,-,,,dryer,خشک کن
,trocknen,,,v,dry,خشک
die,Anleitung,en,Anleitungen,,instructions,دستورالعمل‌ها
der,Automat,en,Automaten,,vending machine,دستگاه فروش خودکار
der,Kassenautomat,,,,self-checkout machine,دستگاه خودپرداز
,anmachen,,,v,turn on,روشن کردن
,öffnen,,,v,open,باز
,schließen,,,v,close,بستن
,zumachen,,,v,close,بستن
,sortieren,,,v,sort,مرتب سازی
,umdrehen,,,v,turn around,برگرداندن
,füllen in,,,v,fill in,پر کردن
,wählen,,,v,choose,انتخاب کردن
,drücken,,,v,press,فشار دادن
,einlaufen,,,v,enter,دویدن
die,Angst,Ängste,,,fear,ترس
die,Anweisung,en,Anweisungen,,instruction,دستور
die,Aufforderung,en,Aufforderungen,,request,درخواست
der,Bekannte,n,Bekannten,,acquaintance,آشنایی
die,Beschreibung,en,Beschreibungen,,description,توضیحات
die,Bitte,n,Bitten,,please,لطفا
der,Copyshop,s,Copyshops,,copy shop,مغازه کپی
der,Espresso,s,Espressos,,espresso,اسپرسو
der,Tee,s,Tees,,tea,چای
die,Entschuldigung,en,Entschuldigungen,,excuse me,ببخشید!
das,Gedicht,e,Gedichte,,poem,شعر
der,Inhaber,-,,,owner,مالک
die,Inhaberin,nen,Inhaberinnen,,owner,مالک
der,Job,s,Jobs,,job,شغل
die,Kasse,n,Kassen,,cash desk,صندوق
die,Kantine,n,Kantinen,,canteen,غذاخوری
die,Kopie,n,Kopien,,copy,رونوشت
die,Liste,n,Listen,,list,فهرست
die,Lösung,en,Lösungen,,solution,راه حل
die,Neuigkeit,en,Neuigkeiten,,news,خبر جدید
die,Notiz,en,Notizen,,note,یادداشت
das,Paar,e,Paare,,couple,زوج
der,Platz,-,,,place,مکان
der,Schwächling,e,Schwächlinge,,weakling,کم بنیه
die,Situation,en,Situationen,,situation,وضعیت
der,Snack,s,Snacks,,snack,میان وعده
der,Traum,Träume,,,dream,رویا
die,Tür,en,Türen,,door,درب
die,Veranstaltung,en,Veranstaltungen,,event,رویداد
die,Vermutung,en,Vermutungen,,supposition,فرض
der,Vetter,-,,,cousin,پسرعمو
der,Vorschlag,Vorschläge,,,suggestion,پیشنهاد
die,Beschreibung,en,Beschreibungen,,description,توضیحات
die,Wegbeschreibung,,,,directions,مسیر
der,Wunsch,Wünsche,,,wish,آرزو
die,Zeile,n,Zeilen,,row,سطر
,anfangen,,,v,begin,شروع كردن
,anprobieren,,,v,try it on,امتحان كردن
,anstoßen,,,v,nudge,سقلمه زدن
,aufpassen,,,v,watch out,مواظب بودن
,ausführen,,,v,carry out,انجام دادن
,bedeuten,,,v,mean,معنی دادن
,bringen,,,v,bring,آوردن
,klicken,,,v,click,کلیک کردن
,eingeben,,,v,enter,واردکردن
,einladen,,,v,invite,دعوت كردن
,entschuldigen,,,v,excuse,بخشیدن
,erklären,,,v,explain,شرح دادن
,fernsehen,,,v,watch television,تلویزیون تماشا کردن
,festhalten,,,v,hold onto,نگه داشتن
,helfen,,,v,help,یاری كردن
,holen,,,v,fetch,آوردن
,kopieren,,,v,copy,رونوشت برداشتن
,lächeln,,,v,smile,لبخند زدن
,mailen,,,v,email,ایمیل زدن
,nachfragen,,,v,ask,پرس و جو کردن
,nehmen,,,v,take,گرفتن
,nennen,,,v,to name,نام بردن
,sagen,,,v,say,گفتن
,stoppen,,,v,stop,متوقف كردن
,surfen,,,v,surfing,موج سواری كردن
,träumen,,,v,dream,خواب دیدن
,vermuten,,,v,assume,حدس زدن
,versuchen,,,v,attempt,كوشش كردن
,warten,,,v,wait,صبر كردن
,fertig,,,adj,completed,کامل
,freundlich,,,adj,friendly,دوستانه
,herzlich,,,adj,heartfelt,صمیمانه
,höflich,,,adj,polite,مودب
,klasse,,,adj,terrific,عالی
,kulturell,,,adj,cultural,فرهنگی
,kurz,,,adj,short,کوتاه
,lang,,,adj,long,طولانی
,langsam,,,adj,slow,آهسته
,nass,,,adj,wet,مرطوب
,trocken,,,adj,dry,خشک
,passend,,,adj,appropriate,مناسب
,professionell,,,adj,professional,حرفه ای
,sauber,,,adj,clean,پاكیزه
,vorsichtig,,,adj,cautious,محتاط
,warm,,,adj,warm,گرم
,gleich,,,adv,same,همانند
,nie,,,adv,never,هرگز
,nun,,,adv,now,اکنون
,später,,,,later,بعداً
,wirklich,,,adv,really,واقعاً
,zuerst,,,adv,first,اول
,ja,,,par,yes,بله
,mal,,,adv,once,یکبار
,doch,,,Konj,"still,but","هنوز،اما"
,alles,for things,,,everything,همه چیز
,alle,for people,,,all,همه
,,,,,,
das,Verkehrsmittel,,,,means of transport,وسایل حمل و نقل
die,Bahn,en,Bahnen,,train,قطار
der,Bus,se,Busse,,bus,اتوبوس
das,Fahrrad,fahrräder,,,bicycle,دوچرخه
das,Velo,s,Velos,,bicycle,دوچرخه
die,StraßenBahn,en,StraßenBahnen,,tram,تراموا
die,Tram,s,Trams,,tram,تراموا
,zu fuß gehen,,,,to walk,راه رفتن
,abbiegen,,,v,turn,دور زدن
,halten,,,v,hold,در دست گرفتن
,aussteigen,,,v,exit,خروج
,umsteigen,,,,transfer,جابجا شدن بین وسایل نقلیه
der,Bahnhof,Bahnhöfe,,,railroad station,ایستگاه راه آهن
die,Fahrkarte,n,Fahrkarten,,ticket,بلیط
der,Automat,en,Automaten,,vending machine,دستگاه فروش خودکار
der,Fahrkartenautomat,,,,ticket machine,دستگاه بلیط فروشی
die,Tageskarte,n,Tageskarten,,day ticket,بلیط روزانه
der,Ort,e,Orte,,place,مکان
der,Standort,,,,location,موقعیت
die,Ecke,n,Ecken,,corner,گوشه
die,Touristeninformation,en,Touristeninformationen,,tourist information,اطلاعات گردشگری
die,Attraktion,en,Attraktionen,,attraction,جاذبه
die,Sehenswürdigkeit,en,Sehenswürdigkeiten,,tourist attraction,منظره
die,Führung,en,Führungen,,guide,راهنما
das,Gebäude,-,,,building,ساختمان
die,Glocke,n,Glocken,,bell,زنگ
das,Glockenspiel,e,Glockenspiele,,chime,کاریلون
die,kirche,n,kirchen,,church,کلیسا
die,Kuppel,n,Kuppeln,,dome,گنبد
das,Münster,-,,,cathedral,کلیسای جامع
das,Parlament,e,Parlamente,,parliament,مجلس
die,Regierung,en,Regierungen,,government,دولت
das,Tor,e,Tore,,gate,دروازه
der,Turm,Türme,,,tower,برج
,besichtigen,,,v,visit,بازدید كردن
der,Stadtplan,Stadtpläne,,,town map,نقشه شهر
die,Gasse,n,Gassen,,alley,کوچه
der,Weg,e,Wege,,away,دور
die,Kreuzung,en,Kreuzungen,,crossing,چهارراه
der,Platz,Plätze,,,place,مکان
,einzeichnen,,,v,draw,طراحی کردن
die,Wegbeschreibung,,,,direction,مسیر
,hier,,,adv,here,اینجا
,dort,,,adv,there,آنجا
,weiter,,,adv,further,بیشتر
,geradeaus,,,adv,straight ahead,مستقیم به جلو
,rechts,,,adv,right,درست
,links,,,adv,left,چپ
,bis zur kreuzung,,,,until the intersection,تا تقاطع
,über die kreuzung,,,,across the intersection,در آن سوی تقاطع
die,Malerei,,,,painting,نقاشی
die,Kunst,,,,art,هنر
das,Bild,er,Bilder,,picture,تصویر
der,Künstler,-,,,artist,هنرمند
die,Künstlerin,nen,Künstlerinnen,,artist,هنرمند
die,Kunstakademie,n,Kunstakademien,,academy of art,آکادمی هنر
die,Kunstschule,n,Kunstschulen,,art school,مدرسه هنری
der,Maler,-,,,painter,نقاش
die,Malerin,nen,Malerinnen,,painter,نقاش
der,Appetit,,,,appetite,اشتها
der,Bär,en,Bären,,bear,خرس
die,Biografie,n,Biografien,,biography,زندگینامه
die,Blume,n,Blumen,,flower,گل
der,Dank,,,,thanks to,با تشکر از
das,Ehepaar,e,Ehepaare,,couple,زوج
der,Eingang,Eingänge,,,entrance,ورودی
die,Einladung,en,Einladungen,,invitation,دعوتنامه
das,Einkaufszentrum,Einkaufszentren,,,shopping center,مرکز خرید
das,Ende,,,,end,پایان
der,Fehler,-,,,mistake,اشتباه
die,Gegenwart,,,,present,حال
die,Vergangenheit,,,,past,گذشته
die,Zukunft,,,,future,آینده
das,Geld,,,,money,پول
das,Geschenk,e,Geschenke,,gift,هدیه
die,Geschichte,n,Geschichten,,story,داستان
die,Party,s,Partys,,party,مهمانی
das,Haupt,,,,main,اصلی
die,Hauptsehenswürdigkeit,,,,main attraction,جاذبه اصلی
die,Ideologie,n,Ideologien,,ideology,ایدئولوژی
das,Kärtchen,-,,,little card,کارت کوچک
das,Leben,,,,life,زندگی
der,Moment,e,Momente,,moment,لحظه
der,Professor,en,Professoren,,professor,استاد
die,Professorin,nen,Professorinnen,,professor,استاد
die,Region,n,Regionn,,region,منطقه
die,Reihenfolge,n,Reihenfolgen,,sequence,"توالی، دنباله"
die,Reise,n,Reisen,,trip,سفر
der,Reiseführer,-,,,travel guide,راهنمای سفر
die,Sitte,n,Sitten,,custom,سفارشی
die,Steuer,n,Steuern,,tax,مالیات
die,Stimmung,en,Stimmungen,,mood,خلق و خو
der,Stress,e,Stresse,,stress,استرس
das,Symbol,e,Symbole,,symbol,نماد
das,Würstchen,-,,,sausage,سوسیس‌ها
,beenden,,,v,finish,پایان
,dabeihaben,,,v,have with you,چیزی همراه خود داشتن
,danken für,,,,thank you for,متشکرم از
,entlassen,,,v,dismiss,اخراج كردن
,erhalten,,,v,receive,دریافت کردن
,gehören,,,v,belong,متعلق بودن
,grillen,,,v,grilling,كباب كردن
,heiraten,,,v,marry,ازدواج کردن
,lachen,,,v,laugh,خندیدن
,leben,,,v,life,زندگی كردن
,reisen,,,v,travel,سفر كردن
,schmecken,,,v,taste,چشیدن
,sterben,,,v,die,مردن
,studieren,,,v,study,تحصیل كردن
,tippen,,,v,type,تایپ کردن
,eintippen,,,v,type,تایپ کردن
,unterrichten,,,v,teach,آموزش دادن
,zurückgehen,,,v,go back,برگشتن
,astronomisch,,,adj,astronomic,نجومی
,abstrakt,,,adj,abstract,انتزاعی
,aggressiv,,,adj,aggressive,تهاجمی
,berühmt,,,adj,famous,مشهور
,bunt,,,adj,colorful,رنگارنگ
,direkt,,,adj,direct,مستقیم
,einfach,,,adj,simply,به سادگی
,fröhlich,,,adj,cheerful,شاد
,lustig,,,adj,funny,خنده دار
,original,,,adj,original,اصلی
,peinlich,,,adj,awkward,خجالت‌آور
,traurig,,,adj,sad,غمگین
,verärgert,,,adj,annoyed,آزرده خاطر
,voll,,,adj,full,پر
,weit,,,adj,far,دور
,bestimmt,,,adv,certainly,قطعاً
,vorher,,,adv,previously,پیشتر
,alle,,,,all,همه
,etwas,,,pron,something,چیزی
,nichts,,,pron,nothing,هیچ چیز
,bei,,,prep,at,در
,für,,,prep,for,برای
,durch,,,prep,through,از طریق
,mit,,,prep,with,با
,um,,,prep,to,به
,von,,,prep,from,از
,zu,,,prep,to,به
,,,,,,
der,Auflauf,Aufläufe,,,casserole,قابلمه
die,Suppe,n,Suppen,,soup,سوپ
das,Huhn,Hühner,,,hen,مرغ
das,Hühnerfleisch,,,,chicken meat,گوشت مرغ
das,Lammfleisch,,,,lamb,بره
das,Schweinefleisch,,,,pork,گوشت خوک
der,Braten,-,,,roast,کباب شده
der,Tafelspitz,,,,boiled beef,گوشت گاو آب پز
das,Schnitzel,-,,,schnitzel,شینسل
die,Forelle,n,Forellen,,trout,ماهی قزل آلا
das,Filet,s,Filets,,filet,فیله
der,Erdapfel,Erdäpfel,,,potato,سیب زمینی
die,Rösterdäpfel,,,,roasted potato,سیب زمینی کباب شده
der,Kloß,Klöße,,,dumpling,کوفته
der,Knödel,-,,,dumpling,کوفته
der,Knoblauch,,,,garlic,سیر
das,Kraut,,,,herb,گیاه
der,Paradeiser,,,,tomatoes,گوجه فرنگی
das,Fladenbrot,e,Fladenbrote,,flatbread,نان مسطح
die,Semmel,n,Semmeln,,roll,نان ساندویچی
das,Öl,e,Öle,,oil,روغن
die,Nuss,Nüsse,,,nut,آجیل
die,Palatschinke,n,Palatschinken,,pancake,پنکیک
die,Sauce,n,Saucen,,sauce,سس
das,Schlagobers,,,,whipped cream,خامه زده شده
die,Torte,n,Torten,,tart,تارت
der,Topfenstrudel,-,,,curd strudel,استرودل پنیر
der,Quarkstrudel,-,,,curd strudel,استرودل پنیر
das,Vanilleeis,,,,vanilla ice cream,بستنی وانیلی
die,Zitrone,n,Zitronen,,lemon,لیمو
das,Bier,e,Biere,,beer,آبجو
die,Birne,n,Birnen,,pear,گلابی
der,Birnensaft,Birnensäft,,,pear juice,آب گلابی
das,Cola,s,Colas,,cola,نوشابه
,bitter,,,,bitter,تلخ
,salzsig,,,,salty,شور
,süß,,,,sweet,شیرین
,scharf,,,,sharp,تیز
,sauer,,,,sour,ترش
,fett,,,,fat,چربی
,vegetarisch,,,,vegetarian,گیاهخواری
das,Lokal,e,Lokale,,local,محلی
die,Speise,n,Speisen,,food,غذا
die,Vorspeise,,,,appetizer,پیش غذا
die,Hauptspeise,,,,main course,غذای اصلی
die,Nachspeise,,,,dessert,دسر
das,Hauptgericht,e,Hauptgerichte,,main course,غذای اصلی
das,Dessert,s,Desserts,,dessert,دسر
die,Speisekarte,n,Speisekarten,,menu,منو
der,Gast,Gäste,,,guest,مهمان
der,Kellner,-,,,waiter,پیشخدمت
die,Kellnerin,nen,Kellnerinnen,,waitress,پیشخدمت
die,Rechnung,en,Rechnungen,,invoice,فاکتور
das,Trinkgeld,er,Trinkgelder,,tip,نکته
,geschlossen,,,,closed,بسته
,geöffnet,,,,opened,باز
,reservieren,,,v,reserve,جا نگه داشتن
,auswählen,,,v,choose,انتخاب كردن
,bestellen,,,v,order,سفارش دادن
,genießen,,,v,enjoy,لذت بردن
,servieren,,,v,serve,پذیرایی كردن
die,Gabel,n,Gabeln,,fork,چنگال
der,Löffel,-,,,spoon,قاشق
das,Messer,-,,,knife,چاقو
der,Teller,-,,,plate,بشقاب
die,Tasse,n,Tassen,,cup,فنجان
das,Glas,Gläser,,,glass,شیشه
der,Topf,Töpfe,,,pot,قابلمه
die,Serviette,n,Servietten,,napkin,دستمال سفره
das,Gericht,e,Gerichte,,"dish,court","غذا،دادگاه"
das,Rezept,e,Rezepte,,recipe,دستور پخت
die,Zubereitung,en,Zubereitungen,,preparation,آماده سازی
die,Zutat,en,Zutaten,,ingredient,ماده تشکیل دهنده
die,Prise,n,Prisen,,prize,جایزه
,anbraten,,,v,fry,سرخ کردن
,pürieren,,,,purée,پوره
,schälen,,,v,peel,پوست کندن
,würfeln,,,v,roll the dice,تاس ریختن
,würzen,,,v,season,ادویه زدن
die,Ablehnung,en,Ablehnungen,,rejection,رد
die,Zustimmung,,,,approval,تصویب
das,Gegenteil,e,Gegenteile,,opposite,روبرو
die,Hilfe,n,Hilfen,,help,کمک
die,Idee,n,Ideen,,idea,ایده
der,Klingelton,Klingeltöne,,,ringtone,آهنگ زنگ
die,Kohlensäure,,,,carbonic acid,اسید کربنیک
der,Liebling,,,,darling,عزیزم
der,Mittag,e,Mittage,,midday,ظهر
die,Person,en,Personen,,person,شخص
die,Portion,en,Portionen,,portion,یک دست غذا
der,Punkt,e,Punkte,,point,امتیاز
das,Radio,s,Radios,,radio,رادیو
der,Rest,e,Reste,,rest,باقی مانده
die,Station,en,Stationen,,station,ایستگاه
die,Summe,n,Summen,,sum,جمع
,ablehnen,,,v,refuse,رد كردن
,eröffnen,,,v,open,باز کردن
,schließen,,,v,close,بستن
,gewinnen,,,v,win,برنده شدن
,lieben,,,v,love,دوست داشتن
,plaudern,,,v,chat,گپ زدن
,probieren,,,v,try,تلاش کردن
,ausprobieren,,,v,try out,امتحان کردن
,umstoßen,,,v,overturn,ضربه زدن
,verschicken,,,v,send,فرستادن
,wegwerfen,,,v,throw away,دور انداختن
,zahlen,,,v,pay,پرداخت كردن
,automatisch,,,adj,automatically,به طور خودکار
,getrennt,,,adj,separated,جداگانه
,zusammen,,,adv,together,با هم
,köstlich,,,adj,delicious,خوشمزه
,lecker,,,adj,yummy,خوشمزه
,laut,,,adj,loud,با صدای بلند
,leise,,,adj,quiet,ساکت
,natürlich,,,adv,of course,البته که
,natürlich,,,adj,naturally,به طور طبیعی
,voll,,,adj,full,پر
,gerne,,,adv,gladly,با کمال میل
,gern,,,adv,gladly,با کمال میل
,lieber,,,adj,dear,عزیز
,am liebsten,,,adj,best,بهترین
,ein bisschen,,,adj,a little bit,یه کم
,draußen,,,adv,outside,بیرون
,drinnen,,,adv,indoors,داخل خانه
,überall,,,adv,everywhere,همه جا
,ohne,,,prep,without,بدون
,mit,,,prep,with,با
,pro,,,prep,per,به ازای هر
,los,,,adv,starting,حرکت
,tut mir leid,,,,i'm sorry,متاسفم.
,vergleichen,,,,compare,مقایسه کردن
,Ende,,,,end,پایان
